node_id,true_label,hdbscan_label,stable_pruned_label,pca_x,pca_y
0,3,-1,-1,0.09221535921096802,-0.22002331912517548
1,4,-1,-1,-0.25268518924713135,-0.002511747181415558
2,4,-1,-1,-0.3178614377975464,-0.016968034207820892
3,0,-1,-1,0.14393454790115356,0.01097472757101059
4,3,-1,-1,0.27634257078170776,0.21853505074977875
5,2,-1,-1,0.31076472997665405,0.2755632996559143
6,0,-1,-1,-0.1350933313369751,0.036552898585796356
7,3,-1,-1,0.5028908848762512,-0.29792138934135437
8,3,-1,-1,-0.3561837673187256,-0.12825742363929749
9,2,3,0,0.4753214418888092,0.15911194682121277
10,0,-1,-1,-0.07372856140136719,-0.44149523973464966
11,0,3,-1,0.13900882005691528,0.0597965270280838
12,4,-1,-1,0.7047959566116333,0.006198607385158539
13,3,3,2,0.08680766820907593,-0.1401137113571167
14,3,3,-1,-0.11929404735565186,0.0885147750377655
15,3,-1,-1,-0.2703660726547241,-0.1914326548576355
16,2,-1,-1,0.33114397525787354,0.5999213457107544
17,3,-1,-1,0.22839051485061646,-0.2496979981660843
18,1,3,-1,0.25011348724365234,-0.24041081964969635
19,3,-1,-1,-0.142067551612854,0.22806479036808014
20,5,3,-1,-0.033226966857910156,-0.02648785337805748
21,3,-1,-1,0.11410361528396606,-0.18985366821289062
22,4,-1,-1,-0.30190181732177734,0.06917072832584381
23,6,-1,-1,0.12666428089141846,-0.055953867733478546
24,3,-1,-1,-0.3096359968185425,-0.2889564037322998
25,3,-1,-1,0.09607571363449097,-0.11027422547340393
26,6,-1,-1,-0.4675776958465576,0.34297728538513184
27,3,-1,-1,-0.2753716707229614,-0.3456445336341858
28,2,-1,-1,0.4065935015678406,0.24583162367343903
29,4,3,-1,0.3081657290458679,0.12976956367492676
30,3,-1,-1,-0.11993682384490967,0.18848170340061188
31,6,-1,-1,-0.15520179271697998,-0.49586039781570435
32,0,3,-1,0.07220578193664551,-0.03131904453039169
33,4,-1,-1,-0.5032438039779663,-0.17841652035713196
34,2,3,0,0.40864503383636475,0.23864693939685822
35,0,-1,-1,0.014946281909942627,-0.17052924633026123
36,1,-1,-1,-0.14767777919769287,-0.46738123893737793
37,5,3,-1,-0.04359191656112671,0.030342526733875275
38,4,-1,-1,0.24659371376037598,-0.05870693176984787
39,4,-1,-1,-0.41439855098724365,-0.022558879107236862
40,3,-1,-1,-0.36377787590026855,0.32429420948028564
41,6,3,-1,0.14017850160598755,-0.05525064095854759
42,6,-1,-1,0.09860652685165405,0.18575282394886017
43,4,1,5,-0.46913790702819824,0.2462955266237259
44,3,-1,-1,-0.5547308921813965,0.15422604978084564
45,3,-1,-1,-0.3186393976211548,0.08620394766330719
46,2,3,0,0.49530699849128723,0.2579418420791626
47,5,-1,-1,-0.08385825157165527,0.05800643563270569
48,3,-1,-1,-0.8140352964401245,0.3278810381889343
49,4,3,-1,0.02436995506286621,0.07992729544639587
50,5,3,-1,0.3354532718658447,0.005355432629585266
51,3,-1,-1,-0.24269938468933105,0.020695552229881287
52,0,3,-1,0.16747963428497314,-0.08063077926635742
53,2,3,0,0.25489342212677,0.3126552104949951
54,1,3,-1,0.46741342544555664,-0.15838800370693207
55,4,-1,-1,-0.5748076438903809,0.2517416477203369
56,6,-1,-1,0.31871652603149414,0.12338483333587646
57,3,-1,-1,0.1617814302444458,0.11042477190494537
58,2,3,0,0.5598012208938599,0.15406247973442078
59,2,-1,-1,-0.22318613529205322,0.6369534730911255
60,0,3,-1,0.0438002347946167,0.044149816036224365
61,0,3,-1,-0.15884745121002197,0.11613555252552032
62,0,-1,-1,0.031368792057037354,0.023222453892230988
63,4,-1,-1,-0.5076912641525269,0.12358008325099945
64,2,-1,-1,0.17377346754074097,0.6038094162940979
65,0,-1,-1,-0.5235496759414673,0.12345333397388458
66,4,-1,-1,0.38567692041397095,0.2133888453245163
67,5,-1,-1,-0.16128408908843994,-0.06299317628145218
68,2,3,-1,0.26661163568496704,0.09502081573009491
69,6,3,-1,-0.16823017597198486,-0.004173345863819122
70,5,3,-1,0.2986055016517639,0.14112617075443268
71,2,-1,-1,-0.051480650901794434,0.21879981458187103
72,2,3,0,0.37646549940109253,0.1983892172574997
73,2,-1,-1,0.08809900283813477,0.2239987701177597
74,0,-1,-1,-0.37175679206848145,0.10139763355255127
75,4,-1,-1,0.027251780033111572,0.3079479932785034
76,5,3,-1,0.12889504432678223,0.03412822633981705
77,6,-1,-1,0.03186303377151489,-0.12113191187381744
78,4,-1,-1,-0.3276892900466919,0.1071348637342453
79,0,3,-1,0.10907399654388428,-0.18112590909004211
80,0,-1,-1,0.0813906192779541,-0.07501954585313797
81,0,-1,-1,-0.16622960567474365,0.030278846621513367
82,4,-1,-1,0.28364408016204834,-0.07000140845775604
83,2,-1,-1,0.2178330421447754,0.17078924179077148
84,4,-1,-1,0.11651968955993652,0.26629531383514404
85,1,-1,-1,-0.06952160596847534,-0.1561548113822937
86,4,3,-1,-0.05794095993041992,-0.01767769455909729
87,6,-1,-1,0.14006251096725464,0.15827351808547974
88,0,-1,-1,-1.2192827463150024,0.09073054790496826
89,4,-1,-1,-1.2771292924880981,0.5161746740341187
90,2,3,-1,0.232266366481781,0.23664088547229767
91,4,-1,-1,-0.3317525386810303,-0.08967619389295578
92,6,-1,-1,-0.5304770469665527,0.23088644444942474
93,6,3,2,0.025896906852722168,0.038998767733573914
94,0,-1,-1,-1.2508984804153442,0.4173892140388489
95,0,-1,-1,-0.9489009380340576,0.02710997313261032
96,6,-1,-1,0.10287964344024658,0.15395615994930267
97,5,-1,-1,0.09838390350341797,-0.17460182309150696
98,0,-1,-1,0.17622298002243042,0.08622214198112488
99,6,-1,-1,-0.6468119621276855,0.4055177569389343
100,0,3,-1,0.11476492881774902,-0.0564282052218914
101,2,-1,-1,0.0408366322517395,0.11795106530189514
102,1,3,-1,-0.0005567073822021484,-0.3195423483848572
103,1,3,-1,0.1721063256263733,-0.21130287647247314
104,1,-1,-1,0.005544841289520264,-0.4151129126548767
105,2,-1,-1,0.1576276421546936,0.5412583351135254
106,6,-1,-1,0.11699634790420532,0.11255195736885071
107,5,-1,-1,-0.28108465671539307,0.13227804005146027
108,6,-1,-1,-0.32256925106048584,-0.01572258025407791
109,1,-1,-1,-0.7459490299224854,-0.5072281360626221
110,2,-1,-1,-0.1549912691116333,0.4147944450378418
111,2,-1,-1,0.05672937631607056,0.5151520371437073
112,1,3,3,0.3155837059020996,-0.22726981341838837
113,5,3,-1,0.09513604640960693,-0.014400944113731384
114,5,-1,-1,0.2712845206260681,-0.47867512702941895
115,5,3,-1,0.2447293996810913,-0.002414792776107788
116,6,-1,-1,-0.1718224287033081,-0.05345579981803894
117,5,-1,-1,-0.11780476570129395,-0.4803304076194763
118,6,-1,-1,-0.5133148431777954,-0.1039685308933258
119,5,-1,-1,-0.2438896894454956,-0.0401347391307354
120,5,3,-1,-0.012533009052276611,-0.018936168402433395
121,1,-1,-1,-0.34063470363616943,-0.15420925617218018
122,6,-1,-1,-0.35674476623535156,0.2806130051612854
123,6,-1,-1,-0.4088876247406006,0.3588917851448059
